contrast,metric,difference,ci_low,ci_high,cases
RK2 N15 - N7 (GT),strict_inside_mask_mse,-0.0009367692568418323,-0.0011197678986502753,-0.0007674028385643729,59
Endpoint GT - auto,strict_outside_mask_psnr,2.812043145304254,2.1559919335178477,3.476001785052949,59
RK2 GT - auto,strict_outside_mask_psnr,2.697615259746336,2.075462988250222,3.338217339575927,59
RK2 - Endpoint (auto),strict_outside_mask_psnr,0.19736632952699806,0.10972706412743985,0.2883120550344722,59
RK2 - Endpoint (GT),strict_outside_mask_psnr,0.08293844396907972,-0.03569505785312017,0.2005139296630379,59
Mask-by-controller interaction,strict_outside_mask_psnr,-0.11442788555791829,-0.27255268609882355,0.047244027821428454,59
RK2 N15 - N7 (auto),strict_outside_mask_psnr,3.9912347519234572,3.3507865984325678,4.647092004268799,59
RK2 N15 - N7 (GT),strict_outside_mask_psnr,8.158590207619538,7.650031641827019,8.68128085405971,59
Endpoint GT - auto,strict_inside_mask_psnr,-0.8666830588556843,-1.3974265377088937,-0.35115299705732783,59
RK2 GT - auto,strict_inside_mask_psnr,-0.7074265479197606,-1.3016991763175412,-0.11947034642134251,59
RK2 - Endpoint (auto),strict_inside_mask_psnr,0.3017763321873995,-0.017304859451765044,0.6216188339047873,59
RK2 - Endpoint (GT),strict_inside_mask_psnr,0.4610328431233233,0.11567131488458014,0.8315123985829149,59
Mask-by-controller interaction,strict_inside_mask_psnr,0.15925651093592372,-0.0895467583952344,0.4415479844075255,59
RK2 N15 - N7 (auto),strict_inside_mask_psnr,1.0202935848068473,0.7894562862600976,1.2835467016691195,59
RK2 N15 - N7 (GT),strict_inside_mask_psnr,0.35584369645785385,0.27907656252982366,0.4378404439761406,59
Endpoint GT - auto,strict_outside_mask_global_ssim,0.016966685899624023,0.011846110768926787,0.022600546198976463,59
RK2 GT - auto,strict_outside_mask_global_ssim,0.015532151604448614,0.010825103188998032,0.020790307656862208,59
