case_uid,method,part_size,part,footprint_change,local_edit_success_0_2,non_target_preservation_0_2,overall_prompt_adherence_0_2,visual_quality_0_2,joint_success,strict_joint_success
synth_0042,rk2_auto,medium,head,comparable,0.0,1.0,1.0,2.0,0.0,0.0
synth_0042,rk2_gt,medium,head,comparable,0.0,2.0,1.0,2.0,0.0,0.0
synth_0042,rk2_n15_auto,medium,head,comparable,0.0,1.0,0.5,2.0,0.0,0.0
synth_0042,rk2_n15_gt,medium,head,comparable,0.0,2.0,1.0,2.0,0.0,0.0
synth_0043,endpoint_auto,small,head,expansion,0.0,1.5,1.0,2.0,0.0,0.0
synth_0043,endpoint_gt,small,head,expansion,0.0,1.5,1.0,2.0,0.0,0.0
synth_0043,rk2_auto,small,head,expansion,0.0,1.0,1.0,2.0,0.0,0.0
synth_0043,rk2_gt,small,head,expansion,0.0,1.0,1.0,2.0,0.0,0.0
synth_0043,rk2_n15_auto,small,head,expansion,0.0,2.0,1.0,2.0,0.0,0.0
synth_0043,rk2_n15_gt,small,head,expansion,0.0,2.0,1.5,2.0,0.0,0.0
synth_0044,endpoint_auto,large,head,comparable,0.5,1.5,1.0,2.0,0.5,0.0
synth_0044,endpoint_gt,large,head,comparable,1.0,2.0,1.5,2.0,1.0,0.0
synth_0044,rk2_auto,large,head,comparable,0.0,1.0,1.5,2.0,0.0,0.0
synth_0044,rk2_gt,large,head,comparable,0.5,1.5,1.0,2.0,0.5,0.0
synth_0044,rk2_n15_auto,large,head,comparable,0.0,2.0,1.0,2.0,0.0,0.0
synth_0044,rk2_n15_gt,large,head,comparable,0.5,2.0,1.5,2.0,0.5,0.0
synth_0045,endpoint_auto,medium,head,expansion,2.0,2.0,2.0,2.0,1.0,1.0
synth_0045,endpoint_gt,medium,head,expansion,1.0,2.0,1.0,2.0,1.0,0.0
synth_0045,rk2_auto,medium,head,expansion,2.0,1.5,2.0,2.0,1.0,0.5
synth_0045,rk2_gt,medium,head,expansion,1.0,2.0,1.5,2.0,1.0,0.0
synth_0045,rk2_n15_auto,medium,head,expansion,2.0,2.0,2.0,2.0,1.0,1.0
synth_0045,rk2_n15_gt,medium,head,expansion,1.0,2.0,1.5,2.0,1.0,0.0
synth_0046,endpoint_auto,large,car body,comparable,0.0,1.0,1.0,2.0,0.0,0.0
synth_0046,endpoint_gt,large,car body,comparable,0.0,1.5,1.0,2.0,0.0,0.0
synth_0046,rk2_auto,large,car body,comparable,0.5,1.0,1.0,2.0,0.5,0.0
synth_0046,rk2_gt,large,car body,comparable,0.0,1.0,1.0,2.0,0.0,0.0
synth_0046,rk2_n15_auto,large,car body,comparable,0.0,2.0,1.0,2.0,0.0,0.0
synth_0046,rk2_n15_gt,large,car body,comparable,0.0,1.5,0.5,2.0,0.0,0.0
synth_0047,endpoint_auto,large,car body,comparable,2.0,0.5,1.5,2.0,0.5,0.0
synth_0047,endpoint_gt,large,car body,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0047,rk2_auto,large,car body,comparable,2.0,0.5,1.5,2.0,0.5,0.0
synth_0047,rk2_gt,large,car body,comparable,2.0,1.5,1.5,2.0,1.0,0.5
synth_0047,rk2_n15_auto,large,car body,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0047,rk2_n15_gt,large,car body,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0048,endpoint_auto,large,car body,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0048,endpoint_gt,large,car body,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0048,rk2_auto,large,car body,comparable,2.0,1.0,1.5,2.0,1.0,0.0
synth_0048,rk2_gt,large,car body,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0048,rk2_n15_auto,large,car body,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0048,rk2_n15_gt,large,car body,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0049,endpoint_auto,large,car body,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0049,endpoint_gt,large,car body,comparable,2.0,2.0,2.0,2.0,1.0,1.0
